CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0404"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94921"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1317"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0157"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0651"
0,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0787"
0,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97063"
0,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0618"
0,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0226"
0,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0565"
0,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0309"
0,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0529"
0,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0338"
0,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0958"
0,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0026"
0,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0253"
0,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0253"
0,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0457"
0,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0418"
0,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0582"
0,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0256"
0,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0773"
0,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0404"
0,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0698"
0,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0419"
0,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0449"
0,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0419"
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0739"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93538"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2124"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0163"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1315"
0,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1407"
0,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.965"
0,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1061"
0,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0584"
0,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0927"
0,TnPL,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.061"
0,TnPL,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0902"
0,TnPL,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0646"
0,TnPL,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1428"
0,TnPL,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0301"
0,TnPL,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.033"
0,TnPL,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.033"
0,TnPL,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0796"
0,TnPL,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0782"
0,TnPL,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0922"
0,TnPL,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0571"
0,TnPL,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0359"
0,TnPL,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0563"
0,TnPL,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0585"
0,TnPL,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0513"
0,TnPL,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0661"
0,TnPL,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0802"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99791"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92862"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0672"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97726"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0186"
0,TnPH,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0191"
