CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.044"
2,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9405"
2,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1476"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0138"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0743"
2,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0575"
2,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98797"
2,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0668"
2,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0245"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0723"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0232"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.062"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0372"
2,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1137"
2,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99902"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0283"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0283"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0537"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0469"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0742"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0204"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0914"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0427"
2,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0843"
2,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0264"
2,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0637"
2,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0604"
2,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94043"
2,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.78807"
2,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0928"
2,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89675"
2,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9841"
2,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0178"
2,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.83342"
2,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97546"
2,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91577"
2,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96407"
