ComCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0151"
0,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.84897"
0,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1813"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97144"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0589"
0,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96995"
0,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1124"
0,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98554"
0,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0427"
0,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98305"
0,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0445"
0,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9939"
0,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0343"
0,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91801"
0,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0909"
0,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0447"
0,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0447"
0,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0067"
0,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0179"
0,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98105"
0,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0553"
0,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94624"
0,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0003"
0,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92961"
0,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0051"
0,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97491"
0,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97289"
0,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0651"
0,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.85783"
0,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.2724"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0053"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1248"
