ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90697"
2,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76081"
2,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0531"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.84279"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97115"
2,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94892"
2,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92322"
2,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94526"
2,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91973"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95439"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91868"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95489"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91424"
2,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96299"
2,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91431"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.89511"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.89511"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93754"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93669"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94181"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9257"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96614"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91529"
2,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.84314"
2,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98814"
2,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.86261"
2,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96214"
2,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.008"
2,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.81275"
2,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.2033"
2,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92634"
2,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0897"
2,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0794"
2,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91523"
2,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0666"
2,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.017"
2,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0655"
2,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0101"
2,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.056"
2,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0151"
2,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.101"
2,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97949"
2,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97938"
2,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97938"
