DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.037"
1,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93303"
1,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.141"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0102"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0638"
1,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0703"
1,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97347"
1,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0667"
1,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.028"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0659"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0275"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0575"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0358"
1,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1094"
1,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99795"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0187"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0187"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0505"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0449"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0667"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0222"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0793"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0369"
1,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0776"
1,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0403"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0595"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0415"
1,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0102"
1,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86404"
1,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1564"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9686"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0518"
