DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0314"
2,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93454"
2,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1282"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0033"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0594"
2,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.062"
2,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97196"
2,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0518"
2,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0117"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0532"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0095"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0439"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0202"
2,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0936"
2,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98249"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.012"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.012"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0365"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0556"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0035"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0636"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0277"
2,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.06"
2,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.031"
