ComCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0193"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.8535"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1851"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98402"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0546"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93726"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1013"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9901"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0485"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9881"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0505"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9985"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0401"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93148"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1071"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98393"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0547"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0121"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0265"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98305"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0555"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96785"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0707"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95942"
0,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0792"
0,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9768"
0,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0618"
0,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0543"
0,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95317"
0,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1554"
0,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0233"
0,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0853"
0,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0132"
0,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0954"
0,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0337"
0,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0749"
0,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0424"
0,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0662"
0,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0387"
0,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0699"
0,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99231"
0,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1163"
0,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0346"
0,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0739"
0,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0426"
0,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0659"
0,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0324"
0,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0761"
0,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0322"
0,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0763"
0,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0177"
0,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0908"
0,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0413"
0,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0673"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1883"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.14"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2367"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1652"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2114"
0,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1753"
0,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2014"
0,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1802"
0,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1965"
0,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1853"
0,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1913"
0,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1823"
0,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1944"
0,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1682"
0,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2085"
0,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1811"
0,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1956"
0,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.185"
0,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1917"
0,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1841"
0,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1926"
0,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1707"
0,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.206"
0,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1643"
0,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2124"
0,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1769"
0,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1998"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1088"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0574"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1602"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0856"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.132"
0,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1042"
0,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1133"
0,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1037"
0,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1138"
0,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.106"
0,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1116"
0,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1051"
0,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1124"
0,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1059"
0,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1117"
0,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1067"
0,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1109"
0,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1062"
0,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1114"
0,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1036"
0,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.114"
0,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0873"
0,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1303"
0,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0801"
0,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1375"
0,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0819"
0,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1356"
0,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0853"
0,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0013"
0,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1693"
0,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0482"
