ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93483"
2,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.79873"
2,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0709"
2,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88436"
2,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9853"
2,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.89716"
2,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97249"
2,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90265"
2,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.967"
2,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.89875"
2,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97091"
2,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90055"
2,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96911"
2,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88751"
2,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98214"
2,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91827"
2,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95138"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90513"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96452"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90428"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96537"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88903"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98063"
2,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88168"
2,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98797"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88651"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98315"
2,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99822"
2,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.88438"
2,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.1121"
2,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.94759"
2,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0488"
2,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96452"
2,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0319"
2,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98012"
2,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0163"
2,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97023"
2,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0262"
2,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97326"
2,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0232"
2,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95327"
2,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0432"
2,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99302"
2,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0034"
2,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97327"
2,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0232"
2,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97128"
2,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0252"
2,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97217"
2,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0243"
2,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.93985"
