DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96424"
2,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.86644"
2,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.062"
2,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93497"
2,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99351"
2,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92043"
2,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.008"
2,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94037"
2,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98811"
2,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93699"
2,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99148"
2,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93944"
2,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98904"
2,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92336"
2,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0051"
2,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9464"
2,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98208"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94276"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98572"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9396"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98888"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9386"
