DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.813904643059
2,lt,up,0,0,2.4,20.0,30.0,0,1,0.900214557744
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.71509507845
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.82926017046
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.766749927657
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.815008640289
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.8128682971
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.822350919247
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.804500102997
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.813906431198
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.82286208868
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.813906431198
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.815351486206
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.814134061337
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.813906431198
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.815572630854
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.812236655264
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.895295107365
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.732514178753
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.830390754429
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.797418531688
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.95474344492
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.05715522491
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.853220737679
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.95474344492
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.940092919968
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.960379123688
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.948832094669
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.9645575881
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.946571052074
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.954743206501
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.944278359413
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.954743206501
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.950043916702
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.954693973064
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.954743206501
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.955516946651
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.953969943188
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.05021778941
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.859269100428
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.964483079542
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.945003810297
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.95640951395
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.08528574935
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.834496354811
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.997963465891
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.953165054321
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.966697692871
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.946171879768
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.96695971489
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.945274174213
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.956431925297
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.947122752666
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.956431925297
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.954924941063
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.956088066101
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.956431925297
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.956699132131
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.956119895769
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.05205046535
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.860768562555
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.974988388385
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.937830639516
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.959875583649
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.07098991456
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.851544362469
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.978741754274
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.956953551882
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.974718570709
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.943732976913
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.970986664295
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.948718369007
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.959875762463
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.953981518745
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.959875762463
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.954993724823
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.959157884121
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.959875762463
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.960173541694
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.959577625603
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.00786936283
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.911881804466
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.00149872543
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.91825244187
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.859882831573
2,lt,up,0,0,2.4,100.0,140.0,0,1,0.94127338483
2,lt,down,0,0,2.4,100.0,140.0,0,1,0.784658915763
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.868521928787
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.827934209034
2,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.872005522251
2,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.850260436535
2,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.904884874821
2,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.844906508923
2,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.859881937504
2,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.863803565502
2,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.859881937504
2,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.858282983303
2,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.859265208244
2,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.859881937504
2,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.859989953719
2,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.859775709428
2,lt,up_add,0,0,2.4,100.0,140.0,0,1,0.902876973152
2,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.816888689995
2,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,0.907457614055
2,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.812308049092
2,lt,central,0,0,2.4,140.0,200.0,0,1,0.835789680481
