DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0685000419616699" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98469698429107666" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0078999996185303" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96730202436447144" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95842897891998291" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91218698024749756" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89772802591323853" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88515502214431763" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.83861899375915527" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.9370797872543335" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96297734975814819" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95787173509597778" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.91227781772613525" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9047316312789917" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.83046823740005493" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.81475532054901123" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.7598034143447876" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.72567009925842285" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.75045996904373169" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0134999752044678" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98724395036697388" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0102800130844116" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96875602006912231" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96045494079589844" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91124701499938965" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89691197872161865" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88249707221984863" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.8294140100479126" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "1.1457630395889282" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98650097846984863" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0411410331726074" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0160160064697266" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99769395589828491" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95997297763824463" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.93244707584381104" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.82035601139068604" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.82789796590805054" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0718101263046265" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98483395576477051" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0077199935913086" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96637701988220215" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95669001340866089" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90999096632003784" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89328205585479736" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.87745803594589233" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.83292698860168457" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0690901279449463" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9851449728012085" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0075099468231201" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96981698274612427" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96223598718643188" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91937100887298584" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.90556305646896362" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.90113800764083862" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.87540602684020996" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0786700248718262" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98721599578857422" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99876201152801514" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96467304229736328" 
0, ptrel, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95636600255966187" 
0, ptrel, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90933197736740112" 
0, ptrel, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89559400081634521" 
0, ptrel, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88253998756408691" 
0, ptrel, down_jes, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.82845902442932129" 
0, ptrel, down_jes, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0328899621963501" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0586600303649902" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96959298849105835" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0221749544143677" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94686198234558105" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9344019889831543" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.85665994882583618" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.85534203052520752" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84712803363800049" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.80597001314163208" 
