DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.965611517429
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.07044483253
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.862796542844
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.985361536954
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.950447073243
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.967611372471
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.963303744793
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.981365799904
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.944924354553
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.965611755848
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.985930979252
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.965611755848
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.970121920109
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.965515494347
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.965611755848
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.966788223925
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.964434810934
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.06217266917
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.869050365686
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.983864642588
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.947358392271
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.971705436707
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.07663947016
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.86959558734
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.978730857372
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.957590168923
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.977119624615
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.966099560261
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.98184543848
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.963055610657
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.971705198288
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.975219964981
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.971705198288
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.970373094082
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.972088754177
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.971705198288
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.97201447653
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.971396396883
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.06887598038
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.874534893036
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.982246389904
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.961164483509
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.941809117794
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.05109801299
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.831127509509
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.951110191299
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.92247965658
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.952023029327
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.931419789791
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.95360326767
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.929400265217
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.941808819771
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.936343431473
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.941808819771
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.938330113888
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.941449940205
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.941808819771
