DeepJet;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.994179487228
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.10344559699
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.889672369748
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.00921154767
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.981709778081
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.995385229588
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.992686927319
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0086414814
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.97249352932
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.99417757988
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.02401709557
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.99417757988
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.99931538105
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.993990361691
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.99417757988
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.994519174877
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.99383979958
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.09359743595
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.894761538506
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.01100728578
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.977351688676
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.97801232338
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.07989289432
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.878687864819
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.983932316303
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.966828026798
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.981873214245
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.974158883095
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.985567092896
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.970131576061
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.978012800217
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.979146063328
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.978012800217
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.976773262024
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.978144526482
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.978012800217
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.978146385511
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.977878261248
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.07581355572
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.880211091042
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.982320289236
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.973704357523
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.939751684666
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.04088147569
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.843257516692
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.969921719667
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.939751684666
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.948906362057
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.930474817753
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.951159000397
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.927126526833
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.939753115177
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.943582594395
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.939753115177
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.938995063305
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.939674556255
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.939753115177
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.93980584088
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.939697528452
0,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.03372685313
0,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.845776516199
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.950972988921
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.928530380411
0,lt,central,0,0,2.4,70.0,100.0,0,1,0.982829868793
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.04711180073
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.921174374438
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.985681801374
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.979291974457
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00090444088
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.963044762611
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.0034455061
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.967222750187
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.982832849026
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.972268640995
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.982832849026
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.975606381893
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.982632160187
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.982832849026
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.982865441288
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.982794296299
