CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93798702955245972" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95335602760314941" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97564500570297241" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96751999855041504" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97197401523590088" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95779597759246826" 
0, ptrel, central, 0, -2.4, 2.4, 300, 670, 0, 1, "0.94819998741149902" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.89420986175537109" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.91810673475265503" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.92153680324554443" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92209094762802124" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92646872997283936" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89203411340713501" 
0, ptrel, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.84745413064956665" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93767803907394409" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95296204090118408" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97586500644683838" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96787703037261963" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97282999753952026" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96064794063568115" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "0.95415598154067993" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93137502670288086" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95530802011489868" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9802510142326355" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97029000520706177" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97064298391342163" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95408093929290771" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "0.94489002227783203" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93895602226257324" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95421898365020752" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97799599170684814" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97409099340438843" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98280900716781616" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.97752398252487183" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 1, "0.98294103145599365" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.90175104141235352" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93171000480651855" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94968998432159424" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95995599031448364" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95179802179336548" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.94932001829147339" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 670, 0, 1, "0.96704399585723877" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93701905012130737" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9528660774230957" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97878003120422363" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98050600290298462" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99107897281646729" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 1, "0.988258957862854" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 670, 0, 1, "0.99977099895477295" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94637507200241089" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96853703260421753" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0020159482955933" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99422597885131836" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99042201042175293" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96747595071792603" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 300, 670, 0, 1, "0.97455495595932007" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93963503837585449" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96835702657699585" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0098099708557129" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9961860179901123" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99532902240753174" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 200, 300, 0, 1, "1.001471996307373" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0126749277114868" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91597282886505127" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93564951419830322" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95681053400039673" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95164477825164795" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95485758781433105" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.92759066820144653" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 300, 670, 0, 1, "0.91610509157180786" 
0, ptrel, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98176419734954834" 
0, ptrel, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9886053204536438" 
0, ptrel, up, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0297532081604004" 
0, ptrel, up, 0, -2.4, 2.4, 100, 140, 0, 1, "1.0129491090774536" 
0, ptrel, up, 0, -2.4, 2.4, 140, 200, 0, 1, "1.0174793004989624" 
0, ptrel, up, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0235577821731567" 
0, ptrel, up, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0489457845687866" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93829602003097534" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95375001430511475" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97542500495910645" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96716296672821045" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97111803293228149" 
0, ptrel, up_bcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95494401454925537" 
