JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 5, "0.91156202554702759" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97589099407196045" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0049799680709839" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99254298210144043" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 5, "0.98156499862670898" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0055099725723267" 
0, ptrel, central, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0364700555801392" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 5, "0.83530545234680176" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 5, "0.94276201725006104" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 5, "0.962260901927948" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 5, "0.95459479093551636" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 5, "0.93785423040390015" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 5, "0.92768901586532593" 
0, ptrel, down, 0, -2.4, 2.4, 300, 670, 0, 5, "0.9446871280670166" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 30, 50, 0, 5, "0.92680603265762329" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97580105066299438" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0050899982452393" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99337297677993774" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 140, 200, 0, 5, "0.98219597339630127" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0062270164489746" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0364700555801392" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 5, "0.89445900917053223" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 5, "0.97749799489974976" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 5, "1.0117379426956177" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 5, "0.99730002880096436" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 5, "0.97964298725128174" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 5, "1.0027239322662354" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 5, "1.0296100378036499" 
