JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91648298501968384" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97461402416229248" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0037399530410767" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99213701486587524" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97739499807357788" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99409198760986328" 
0, ptrel, central, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0261499881744385" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.86414384841918945" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.94262802600860596" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96557796001434326" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93749725818634033" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93642842769622803" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.92753410339355469" 
0, ptrel, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.91581040620803833" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91309195756912231" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97463804483413696" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0038479566574097" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99304401874542236" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97804397344589233" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99478501081466675" 
0, ptrel, down_bcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0274499654769897" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91807997226715088" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97581005096435547" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0106239318847656" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99696099758148193" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97558802366256714" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99169802665710449" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "1.019819974899292" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91646397113800049" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97262603044509888" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0083858966827393" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99363201856613159" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98709100484848022" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0169999599456787" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0650999546051025" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.87218201160430908" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95788699388504028" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98804396390914917" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97066998481750488" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97443699836730957" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.98400396108627319" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0399399995803833" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91498500108718872" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97576004266738892" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0080509185791016" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "1.0040830373764038" 
