JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.971302
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.915277
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 1.02733
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965014
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.97759
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.979421
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963183
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.959544
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.98306
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 1.02455
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.918054
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.971791
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.970813
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963595
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.979009
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.971674
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.97093
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.974639
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.942595
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.00668
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.964053
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.985225
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.997987
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.951291
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987055
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.962223
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.962102
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987176
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.975588
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97369
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.967309
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.981969
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.976547
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.972731
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.953212
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.901268
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.00516
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.943698
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.962726
0, system8, up_jetaway,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.989391
0, system8, down_jetaway,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.917033
0, system8, up_mupt,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.971688
0, system8, down_mupt,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.934736
0, system8, up_ptrel,        0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.979299
0, system8, down_ptrel,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.927125
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.956036
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.950388
0, system8, up_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.93683
0, system8, down_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.969594
0, system8, up_mudr,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.953934
0, system8, down_mudr,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.95249
0, system8, central,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.977898
0, system8, down,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.877093
0, system8, up,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 1.0787
0, system8, down_statistic,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.965518
0, system8, up_statistic,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.990278
0, system8, up_jetaway,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.96359
0, system8, down_jetaway,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.992206
0, system8, up_mupt,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.996849
0, system8, down_mupt,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.958947
0, system8, up_ptrel,        0, 0.0, 2.4, 100.0, 140.0, 0, 1, 1.07265
0, system8, down_ptrel,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.883146
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.98692
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.968876
0, system8, up_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.958484
0, system8, down_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.997312
0, system8, up_mudr,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.980775
0, system8, down_mudr,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.975021
1, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.94735
1, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.900679
1, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.994021
1, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.939964
1, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954736
1, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.959559
1, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.935141
1, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.936133
1, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.958567
1, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.990208
1, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.904492
1, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.946061
1, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948639
1, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.944197
