cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98808497190475464" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98782598972320557" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0001800060272217" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97790497541427612" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97865897417068481" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99341797828674316" 
0, ptrel, central, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0018500089645386" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96556931734085083" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96601581573486328" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98137831687927246" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95404177904129028" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95578837394714355" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95748674869537354" 
0, ptrel, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.91649216413497925" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98930734395980835" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98972040414810181" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0008599758148193" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97836297750473022" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97845792770385742" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99211692810058594" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0003200769424438" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99271690845489502" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98991876840591431" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0036380290985107" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97871494293212891" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97880196571350098" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99808496236801147" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0397679805755615" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98855060338973999" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9887651801109314" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "1.001039981842041" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97973597049713135" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98179501295089722" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99881100654602051" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0135500431060791" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98269623517990112" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98177158832550049" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.99617999792098999" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9688839316368103" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96930491924285889" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.97667598724365234" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 670, 0, 1, "0.96471101045608521" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98527061939239502" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98767399787902832" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0047500133514404" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98732399940490723" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.99244701862335205" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0183500051498413" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0274080038070679" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99924975633621216" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0001460313796997" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0102020502090454" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98736393451690674" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98652893304824829" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0034139156341553" 
0, ptrel, down_ltempcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "1.0214509963989258" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99124974012374878" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99147558212280273" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 1, "1.007735013961792" 
