CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,1.01596
0,lt,up_ntrk,0,0,2.4,30,50,0,1,1.02153
0,lt,up_njet,0,0,2.4,30,50,0,1,1.01263
0,lt,up_mupt,0,0,2.4,30,50,0,1,1.01884
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,1.0135
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,1.01966
0,lt,up_dmux,0,0,2.4,30,50,0,1,1.01596
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,1.01596
0,lt,up_ksl,0,0,2.4,30,50,0,1,1.01596
0,lt,up_ntrkgen,0,0,2.4,30,50,0,1,1.01608
0,lt,down_ntrk,0,0,2.4,30,50,0,1,1.01596
0,lt,down_njet,0,0,2.4,30,50,0,1,1.01596
0,lt,down_mupt,0,0,2.4,30,50,0,1,1.01596
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,1.0189
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,1.00872
0,lt,down_dmux,0,0,2.4,30,50,0,1,1.01588
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,1.01637
0,lt,down_ksl,0,0,2.4,30,50,0,1,1.01596
0,lt,down_ntrkgen,0,0,2.4,30,50,0,1,1.01324
0,lt,up_statistic,0,0,2.4,30,50,0,1,1.04039
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.991531
0,lt,up_cb,0,0,2.4,30,50,0,1,1.02581
0,lt,down_cb,0,0,2.4,30,50,0,1,1.00611
0,lt,up_ltothers,0,0,2.4,30,50,0,1,1.06996
0,lt,down_ltothers,0,0,2.4,30,50,0,1,0.96196
0,lt,up,0,0,2.4,30,50,0,1,1.08115
0,lt,down,0,0,2.4,30,50,0,1,0.938341
0,lt,central,0,0,2.4,50,70,0,1,0.977438
0,lt,up_ntrk,0,0,2.4,50,70,0,1,0.975176
0,lt,up_njet,0,0,2.4,50,70,0,1,0.968043
0,lt,up_mupt,0,0,2.4,50,70,0,1,0.977777
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.977854
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.980103
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.977436
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.977436
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.977428
0,lt,up_ntrkgen,0,0,2.4,50,70,0,1,0.977508
0,lt,down_ntrk,0,0,2.4,50,70,0,1,0.977436
0,lt,down_njet,0,0,2.4,50,70,0,1,0.977436
0,lt,down_mupt,0,0,2.4,50,70,0,1,0.977436
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.980464
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.976022
0,lt,down_dmux,0,0,2.4,50,70,0,1,0.977143
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.97681
0,lt,down_ksl,0,0,2.4,50,70,0,1,0.977436
0,lt,down_ntrkgen,0,0,2.4,50,70,0,1,0.980644
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.99997
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.954906
0,lt,up_cb,0,0,2.4,50,70,0,1,0.98131
0,lt,down_cb,0,0,2.4,50,70,0,1,0.973566
0,lt,up_ltothers,0,0,2.4,50,70,0,1,1.01065
0,lt,down_ltothers,0,0,2.4,50,70,0,1,0.944229
0,lt,up,0,0,2.4,50,70,0,1,1.02022
0,lt,down,0,0,2.4,50,70,0,1,0.925999
0,lt,central,0,0,2.4,70,100,0,1,0.977053
0,lt,up_ntrk,0,0,2.4,70,100,0,1,0.975209
0,lt,up_njet,0,0,2.4,70,100,0,1,0.972422
0,lt,up_mupt,0,0,2.4,70,100,0,1,0.973937
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.974503
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.979228
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.977053
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.977053
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.977061
0,lt,up_ntrkgen,0,0,2.4,70,100,0,1,0.976977
0,lt,down_ntrk,0,0,2.4,70,100,0,1,0.977053
0,lt,down_njet,0,0,2.4,70,100,0,1,0.977053
0,lt,down_mupt,0,0,2.4,70,100,0,1,0.977053
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.980507
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.975919
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.977668
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.97717
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.977053
0,lt,down_ntrkgen,0,0,2.4,70,100,0,1,0.968114
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.995778
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.958328
0,lt,up_cb,0,0,2.4,70,100,0,1,0.980082
0,lt,down_cb,0,0,2.4,70,100,0,1,0.974024
0,lt,up_ltothers,0,0,2.4,70,100,0,1,0.993115
0,lt,down_ltothers,0,0,2.4,70,100,0,1,0.960991
0,lt,up,0,0,2.4,70,100,0,1,1.0068
0,lt,down,0,0,2.4,70,100,0,1,0.9497
0,lt,central,0,0,2.4,100,140,0,1,1.01022
0,lt,up_ntrk,0,0,2.4,100,140,0,1,1.00806
0,lt,up_njet,0,0,2.4,100,140,0,1,1.00935
0,lt,up_mupt,0,0,2.4,100,140,0,1,1.00967
0,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,1.01008
0,lt,up_bfragmentation,0,0,2.4,100,140,0,1,1.01205
0,lt,up_dmux,0,0,2.4,100,140,0,1,1.01022
0,lt,up_cfragmentation,0,0,2.4,100,140,0,1,1.01022
0,lt,up_ksl,0,0,2.4,100,140,0,1,1.0102
0,lt,up_ntrkgen,0,0,2.4,100,140,0,1,1.01028
0,lt,down_ntrk,0,0,2.4,100,140,0,1,1.01022
0,lt,down_njet,0,0,2.4,100,140,0,1,1.01022
0,lt,down_mupt,0,0,2.4,100,140,0,1,1.01022
0,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,1.01014
0,lt,down_bfragmentation,0,0,2.4,100,140,0,1,1.00836
0,lt,down_dmux,0,0,2.4,100,140,0,1,1.01143
0,lt,down_cfragmentation,0,0,2.4,100,140,0,1,1.01394
0,lt,down_ksl,0,0,2.4,100,140,0,1,1.01022
0,lt,down_ntrkgen,0,0,2.4,100,140,0,1,1.00894
0,lt,up_statistic,0,0,2.4,100,140,0,1,1.03279
0,lt,down_statistic,0,0,2.4,100,140,0,1,0.987656
0,lt,up_cb,0,0,2.4,100,140,0,1,1.01292
0,lt,down_cb,0,0,2.4,100,140,0,1,1.00753
0,lt,up_ltothers,0,0,2.4,100,140,0,1,1.0219
0,lt,down_ltothers,0,0,2.4,100,140,0,1,0.998549
0,lt,up,0,0,2.4,100,140,0,1,1.03817
0,lt,down,0,0,2.4,100,140,0,1,0.983952
0,lt,central,0,0,2.4,140,200,0,1,0.984257
0,lt,up_ntrk,0,0,2.4,140,200,0,1,0.977214
0,lt,up_njet,0,0,2.4,140,200,0,1,0.980666
0,lt,up_mupt,0,0,2.4,140,200,0,1,0.983771
0,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.980062
0,lt,up_bfragmentation,0,0,2.4,140,200,0,1,0.986028
0,lt,up_dmux,0,0,2.4,140,200,0,1,0.984258
0,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.984258
0,lt,up_ksl,0,0,2.4,140,200,0,1,0.984281
0,lt,up_ntrkgen,0,0,2.4,140,200,0,1,0.98316
0,lt,down_ntrk,0,0,2.4,140,200,0,1,0.984258
0,lt,down_njet,0,0,2.4,140,200,0,1,0.984258
0,lt,down_mupt,0,0,2.4,140,200,0,1,0.984258
0,lt,down_gluonsplitting,0,0,2.4,140,200,0,1,0.988845
