CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98608601093292236" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9984470009803772" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98322302103042603" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92908602952957153" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.90154796838760376" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93176639080047607" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.89533305168151855" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.85318231582641602" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98922199010848999" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0015799999237061" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98836702108383179" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9295240044593811" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98698598146438599" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99874800443649292" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98559600114822388" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93380999565124512" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "1.040276050567627" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0498330593109131" 
