OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, tctt, central, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899" 
0, tctt, up, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899+0.059" 
0, tctt, down, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899-0.059"  
0, tctt, up_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899+0.058" 
0, tctt, down_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899-0.058" 
0, tctt, up_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899+0.013" 
0, tctt, down_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.899-0.013"
1, tctt, central, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861" 
1, tctt, up, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861+0.085" 
1, tctt, down, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861-0.085"  
1, tctt, up_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861+0.084" 
1, tctt, down_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861-0.084" 
1, tctt, up_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861+0.013" 
1, tctt, down_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.861-0.013"
2, tctt, central, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788" 
2, tctt, up, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788+0.123" 
2, tctt, down, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788-0.123"  
2, tctt, up_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788+0.122" 
2, tctt, down_statistic, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788-0.122" 
2, tctt, up_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788+0.013" 
2, tctt, down_tct, 0, -2.4, 2.4, 30, 300, 0, 1, "0.788-0.013"

