OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91386598348617554" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.92067998647689819" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9403039813041687" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92076700925827026" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90342402458190918" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89872598648071289" 
0, ptrel, central, 0, -2.4, 2.4, 300, 670, 0, 1, "0.8558800220489502" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.87339973449707031" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.89161896705627441" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.89749407768249512" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.88298243284225464" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.85200995206832886" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.82120251655578613" 
0, ptrel, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.7883307933807373" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91488802433013916" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.92311501502990723" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94435697793960571" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92333799600601196" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90195101499557495" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89571899175643921" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "0.85105806589126587" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.90917295217514038" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.91881096363067627" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93670094013214111" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91133302450180054" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.8864600658416748" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88176000118255615" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 670, 0, 1, "0.82983106374740601" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91421699523925781" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.92149597406387329" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94239097833633423" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92599499225616455" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91427701711654663" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91218799352645874" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 1, "0.8879539966583252" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.88612198829650879" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.91488802433013916" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93196302652359009" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90519499778747559" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.87791407108306885" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.86431199312210083" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 670, 0, 1, "0.82078301906585693" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.91637802124023438" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9243280291557312" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94102799892425537" 
0, ptrel, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91879600286483765" 
0, ptrel, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90370804071426392" 
0, ptrel, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.8963349461555481" 
0, ptrel, down_jes, 0, -2.4, 2.4, 300, 670, 0, 1, "0.8513680100440979" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.89023095369338989" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.89700597524642944" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "0.91032993793487549" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94479101896286011" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93307799100875854" 
