CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.94835
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.926767
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.969933
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.942155
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954545
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.940107
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956593
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963338
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.933362
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948559
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948141
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.944949
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.951751
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949064
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947636
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.957223
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.939477
0, system8, up_pileup,     0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948899
0, system8, down_pileup,     0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947801
0, system8, up_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.941739
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954961
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.940673
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.91527
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.966076
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.934423
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.946923
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.942077
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.939269
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.921476
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.95987
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.940276
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.94107
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.93698
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.944366
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.941341
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.940005
