CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TagCount,central,0,0.000,2.400,30.000,50.000,0.000,1.000,0.953
0,TagCount,up_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,0.982
0,TagCount,down_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,0.923
0,TagCount,up_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,0.903
0,TagCount,down_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,1.001
0,TagCount,up_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,1.062
0,TagCount,down_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,0.867
0,TagCount,up_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,0.955
0,TagCount,down_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,0.953
0,TagCount,up_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,0.963
0,TagCount,down_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,0.949
0,TagCount,up_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,0.952
0,TagCount,down_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,0.954
0,TagCount,up_scale2,0,0.000,2.400,30.000,50.000,0.000,1.000,0.952
0,TagCount,down_scale2,0,0.000,2.400,30.000,50.000,0.000,1.000,0.952
0,TagCount,up,0,0.000,2.400,30.000,50.000,0.000,1.000,1.057
0,TagCount,down,0,0.000,2.400,30.000,50.000,0.000,1.000,0.849
0,TagCount,central,0,0.000,2.400,50.000,70.000,0.000,1.000,0.924
0,TagCount,up_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,0.939
0,TagCount,down_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,0.909
0,TagCount,up_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,0.894
0,TagCount,down_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,0.953
0,TagCount,up_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,0.955
0,TagCount,down_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,0.896
0,TagCount,up_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,0.926
0,TagCount,down_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,0.924
0,TagCount,up_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,0.929
0,TagCount,down_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,0.925
0,TagCount,up_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,0.923
0,TagCount,down_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,0.926
0,TagCount,up_scale2,0,0.000,2.400,50.000,70.000,0.000,1.000,0.912
0,TagCount,down_scale2,0,0.000,2.400,50.000,70.000,0.000,1.000,0.929
0,TagCount,up,0,0.000,2.400,50.000,70.000,0.000,1.000,0.968
0,TagCount,down,0,0.000,2.400,50.000,70.000,0.000,1.000,0.881
0,TagCount,central,0,0.000,2.400,70.000,100.000,0.000,1.000,0.917
0,TagCount,up_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,0.928
0,TagCount,down_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,0.905
0,TagCount,up_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,0.893
0,TagCount,down_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,0.940
0,TagCount,up_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,0.938
0,TagCount,down_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,0.897
0,TagCount,up_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,0.918
0,TagCount,down_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,0.917
0,TagCount,up_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,0.919
0,TagCount,down_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,0.919
0,TagCount,up_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,0.916
0,TagCount,down_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,0.918
0,TagCount,up_scale2,0,0.000,2.400,70.000,100.000,0.000,1.000,0.915
0,TagCount,down_scale2,0,0.000,2.400,70.000,100.000,0.000,1.000,0.918
0,TagCount,up,0,0.000,2.400,70.000,100.000,0.000,1.000,0.950
0,TagCount,down,0,0.000,2.400,70.000,100.000,0.000,1.000,0.883
0,TagCount,central,0,0.000,2.400,100.000,140.000,0.000,1.000,0.922
0,TagCount,up_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,0.936
0,TagCount,down_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,0.908
0,TagCount,up_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,0.899
0,TagCount,down_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,0.945
0,TagCount,up_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,0.940
0,TagCount,down_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,0.905
0,TagCount,up_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,0.923
0,TagCount,down_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,0.923
0,TagCount,up_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,0.924
0,TagCount,down_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,0.925
0,TagCount,up_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,0.920
0,TagCount,down_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,0.925
0,TagCount,up_scale2,0,0.000,2.400,100.000,140.000,0.000,1.000,0.927
0,TagCount,down_scale2,0,0.000,2.400,100.000,140.000,0.000,1.000,0.923
0,TagCount,up,0,0.000,2.400,100.000,140.000,0.000,1.000,0.955
0,TagCount,down,0,0.000,2.400,100.000,140.000,0.000,1.000,0.890
0,TagCount,central,0,0.000,2.400,140.000,200.000,0.000,1.000,0.944
