OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9353
0,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9686	
0,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9057	
0,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9686
0,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9057
1,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8846	
1,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9292	
1,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8430	
1,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.9292	
1,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8430
2,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8521	
2,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8948	
2,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8127	
2,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8948
2,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.8127
