OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.92
0,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.96	
0,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.90	
0,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.96	
0,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.90	
1,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.88	
1,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.93	
1,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.85	
1,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.93
1,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.85	
2,if,central,0,0.000,2.400,30.000,200.000,0.000,1.000,0.85	
2,if,up_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.90	
2,if,down_statistic,0,0.000,2.400,30.000,200.000,0.000,1.000,0.82	
2,if,up,0,0.000,2.400,30.000,200.000,0.000,1.000,0.90
2,if,down,0,0.000,2.400,30.000,200.000,0.000,1.000,0.82	
