CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,0.971946
0,lt,up_ntrk,0,0,2.4,30,50,0,1,0.973676
0,lt,up_njet,0,0,2.4,30,50,0,1,0.970649
0,lt,up_mupt,0,0,2.4,30,50,0,1,0.968964
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.970364
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.974967
0,lt,up_dmux,0,0,2.4,30,50,0,1,0.971946
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.971946
0,lt,up_ksl,0,0,2.4,30,50,0,1,0.971939
0,lt,up_jes,0,0,2.4,30,50,0,1,0.972876
0,lt,down_ntrk,0,0,2.4,30,50,0,1,0.971946
0,lt,down_njet,0,0,2.4,30,50,0,1,0.971946
0,lt,down_mupt,0,0,2.4,30,50,0,1,0.971946
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.973596
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.966483
0,lt,down_dmux,0,0,2.4,30,50,0,1,0.9727
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.974276
0,lt,down_ksl,0,0,2.4,30,50,0,1,0.971946
0,lt,down_jes,0,0,2.4,30,50,0,1,0.969733
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.976903
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.966989
0,lt,up_cb,0,0,2.4,30,50,0,1,0.986896
0,lt,down_cb,0,0,2.4,30,50,0,1,0.956997
0,lt,up_ltothers,0,0,2.4,30,50,0,1,1.00585
0,lt,down_ltothers,0,0,2.4,30,50,0,1,0.938044
0,lt,up,0,0,2.4,30,50,0,1,1.00962
0,lt,down,0,0,2.4,30,50,0,1,0.93393
0,lt,central,0,0,2.4,50,70,0,1,0.923398
0,lt,up_ntrk,0,0,2.4,50,70,0,1,0.938674
0,lt,up_njet,0,0,2.4,50,70,0,1,0.922027
0,lt,up_mupt,0,0,2.4,50,70,0,1,0.920565
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.922826
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.922778
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.923398
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.923398
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.923388
0,lt,up_jes,0,0,2.4,50,70,0,1,0.925533
0,lt,down_ntrk,0,0,2.4,50,70,0,1,0.923398
0,lt,down_njet,0,0,2.4,50,70,0,1,0.923398
