CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89444"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.83079"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9581"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8677"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92118"
0,TnP,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88018"
0,TnP,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9087"
0,TnP,down_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85271"
0,TnP,up_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93617"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88144"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90744"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88364"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90524"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88382"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90506"
0,TnP,down_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87921"
0,TnP,up_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90967"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88302"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90587"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86846"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92042"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88236"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.83744"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92727"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.8581"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90662"
0,TnP,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87312"
0,TnP,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.8916"
0,TnP,down_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86963"
0,TnP,up_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89508"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86746"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89725"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87639"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88832"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87617"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88855"
0,TnP,down_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85807"
0,TnP,up_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90664"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87656"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88815"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86608"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89864"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89854"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.86153"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93554"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.88113"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.91594"
0,TnP,down_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89287"
0,TnP,up_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90421"
0,TnP,down_hpp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.87386"
0,TnP,up_hpp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.92321"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.88944"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90764"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89299"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90408"
0,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89267"
0,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9044"
0,TnP,down_ps,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.88101"
0,TnP,up_ps,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.91606"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89339"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90368"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.88991"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90717"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94738"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91061"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98414"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9326"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96215"
0,TnP,down_met,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94361"
0,TnP,up_met,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95114"
0,TnP,down_hpp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91937"
0,TnP,up_hpp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97538"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94033"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95443"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94473"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95003"
