CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91941"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85089"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98794"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88577"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95306"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89986"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90698"
0,TnPH,down_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87868"
0,TnPH,up_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87868"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91346"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91618"
0,TnPH,down_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93149"
0,TnPH,up_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91465"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92701"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90899"
0,TnPH,down_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90511"
0,TnPH,up_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92681"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93425"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91455"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87178"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90852"
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.80359"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71485"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89233"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.75954"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84764"
0,TnPL,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.79598"
0,TnPL,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.81095"
0,TnPL,down_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84862"
0,TnPL,up_hpp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84862"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84143"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.76733"
0,TnPL,down_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.82709"
0,TnPL,up_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.78925"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.81961"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.78719"
0,TnPL,down_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85505"
0,TnPL,up_ps,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.80993"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.83124"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.79744"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.79666"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.79202"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87439"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.82381"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92496"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.84301"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90576"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85909"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87135"
0,TnPH,down_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88318"
0,TnPH,up_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88318"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85996"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87389"
0,TnPH,down_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.8821"
0,TnPH,up_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87389"
0,TnPH,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86641"
0,TnPH,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87245"
0,TnPH,down_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90635"
0,TnPH,up_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.85769"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87825"
0,TnPH,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86557"
0,TnPH,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.84315"
0,TnPH,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86774"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90631"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.84155"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97108"
0,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86806"
0,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94456"
0,TnPL,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.8969"
0,TnPL,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89682"
0,TnPL,down_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92935"
0,TnPL,up_hpp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92935"
0,TnPL,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93269"
0,TnPL,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86893"
0,TnPL,down_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92533"
0,TnPL,up_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9026"
0,TnPL,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91027"
0,TnPL,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89067"
0,TnPL,down_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94028"
0,TnPL,up_ps,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89199"
0,TnPL,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90314"
0,TnPL,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91142"
0,TnPL,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89804"
0,TnPL,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90079"
0,TnPH,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90681"
0,TnPH,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.85131"
0,TnPH,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96232"
0,TnPH,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.8724"
0,TnPH,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94122"
0,TnPH,down_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89228"
0,TnPH,up_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90096"
0,TnPH,down_hpp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9011"
0,TnPH,up_hpp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9011"
0,TnPH,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89008"
0,TnPH,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.8922"
0,TnPH,down_backg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90777"
0,TnPH,up_backg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90188"
0,TnPH,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89758"
0,TnPH,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89261"
0,TnPH,down_ps,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.90738"
0,TnPH,up_ps,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.86993"
0,TnPH,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.91422"
0,TnPH,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89337"
0,TnPH,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.87535"
0,TnPH,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89731"
0,TnPL,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89404"
0,TnPL,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.84992"
0,TnPL,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93816"
0,TnPL,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.87386"
0,TnPL,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.91422"
0,TnPL,down_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89609"
