cMVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TagCount,central,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.920" 
0,TagCount,up_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.941" 
0,TagCount,down_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.897" 
0,TagCount,up_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.896" 
0,TagCount,down_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.942" 
0,TagCount,up_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.956" 
0,TagCount,down_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.886" 
0,TagCount,up_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.924" 
0,TagCount,down_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.919" 
0,TagCount,up_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.932" 
0,TagCount,down_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.917" 
0,TagCount,up_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.919" 
0,TagCount,down_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.921" 
0,TagCount,up_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.925" 
0,TagCount,down_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.920" 
0,TagCount,up,0, 0.000,2.400,30.000,50.000,0.000,1.000,"0.968" 
0,TagCount,down,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.871" 
0,TagCount,central,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.935" 
0,TagCount,up_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.946" 
0,TagCount,down_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.925" 
0,TagCount,up_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.921" 
0,TagCount,down_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.949" 
0,TagCount,up_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.948" 
0,TagCount,down_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.924" 
0,TagCount,up_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.938" 
0,TagCount,down_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.935" 
0,TagCount,up_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.942" 
0,TagCount,down_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.935" 
0,TagCount,up_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.935" 
0,TagCount,down_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.937" 
0,TagCount,up_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.924" 
0,TagCount,down_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.942" 
0,TagCount,up,0, 0.000,2.400,50.000,70.000,0.000,1.000,"0.957" 
0,TagCount,down,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.914" 
0,TagCount,central,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.925" 
0,TagCount,up_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.933" 
0,TagCount,down_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.916" 
0,TagCount,up_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.912" 
0,TagCount,down_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.937" 
0,TagCount,up_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.933" 
0,TagCount,down_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.917" 
0,TagCount,up_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.927" 
0,TagCount,down_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.924" 
0,TagCount,up_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.927" 
0,TagCount,down_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.926" 
0,TagCount,up_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.924" 
0,TagCount,down_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.926" 
0,TagCount,up_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.923" 
0,TagCount,down_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.928" 
0,TagCount,up,0, 0.000,2.400,70.000,100.000,0.000,1.000,"0.942" 
0,TagCount,down,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.908" 
0,TagCount,central,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.923" 
0,TagCount,up_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.933" 
