DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.0336003303527832
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.22000116382749
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.8720736288616713
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.0523727616787688
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.0208905180393708
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03581702709198
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.0311193466186523
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0430153608322144
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0181407928466797
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0336003303527832
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0365216732025146
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.0336003303527832
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0374321937561035
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.033593773841858
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.0336003303527832
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.0357425751391127
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.0314580855664537
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.2641098651315281
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.8030907955740382
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0441738161425853
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.023026844562981
0,lt,central,0,0,2.4,30.0,50.0,0,1,1.0434420108795166
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.1098270532226064
0,lt,down,0,0,2.4,30.0,50.0,0,1,1.0115943733124335
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.0482300519943237
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.0313562752252337
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.0475387573242188
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.0392941236495972
