DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0018199682235718" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98454797267913818" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97922098636627197" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98369902372360229" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97010797262191772" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95451498031616211" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95212000608444214" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96554100513458252" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0653699636459351" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98151600360870361" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96776652336120605" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97008597850799561" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96096426248550415" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95796501636505127" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93650001287460327" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.89201068878173828" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.90155249834060669" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88212364912033081" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.78338158130645752" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.82171010971069336" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0103100538253784" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98717695474624634" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98284798860549927" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9877360463142395" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97205597162246704" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95808297395706177" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95326501131057739" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96456599235534668" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0102499723434448" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98074799776077271" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0024899244308472" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98556792736053467" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9795219898223877" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98219305276870728" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96535295248031616" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97970598936080933" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9369320273399353" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94336599111557007" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.1584188938140869" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.94115197658538818" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0030200481414795" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98550999164581299" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98027598857879639" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98457598686218262" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97113698720932007" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95566600561141968" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95302098989486694" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96643799543380737" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0653699636459351" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98038899898529053" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0019099712371826" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98473197221755981" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9795069694519043" 
