DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983371041644"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.953447164327"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01329491896"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980009543086"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986732540202"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980885528438"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98585655485"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983239760625"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983502322664"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981382063659"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.985360019629"
0,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.953447164327"
0,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01329491896"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97931784808"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.987424235208"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979124900345"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.987617182943"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.955135051715"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01160703157"
0,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.975963592357"
0,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.990778490932"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981834889282"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.984907194006"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.982030097231"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.984711986057"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981491099183"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.985250984105"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.918340138473"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.891713157041"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.944967119905"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.916370974574"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920309302371"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91751891914"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919161357806"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.918185935785"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.918494341161"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.917303293033"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919376983912"
0,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.891713157041"
0,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.944967119905"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.915225705117"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921454571828"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.913193731148"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.923486545797"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.893091895366"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94358838158"
0,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.914352808268"
0,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922327468678"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.917052286164"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919627990782"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.918183906468"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.918496370478"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.917064020748"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919616256198"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.966774379871"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.949017647927"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.984531111815"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.965449930784"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.968098828957"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.966643637174"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.966905122568"
0,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.966481132104"
0,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.967067627637"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.966070068778"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.967478690963"
0,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.949017647927"
0,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.984531111815"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96476057264"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.968788187102"
0,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.964158563142"
0,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.969390196599"
