DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00625"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.967958"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.04454"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.995124"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01738"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.988557"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02394"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.991534"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02097"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.03032"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.982178"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0058"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0067"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00012"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01238"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01138"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00112"
0, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.009"
0, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0035"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01897"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.99353"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984377"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.97104"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.997714"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.978906"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.989848"
