DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.9940893650054932
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.1862244503311294
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.8399641264739839
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.0055307149887085
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.975705487076656
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.9945926070213318
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.9936074018478394
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.011407494544983
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.9676388502120972
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.9940905570983887
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0085878372192383
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.9940905570983887
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.9995979070663452
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.9940842986106873
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.9940905570983887
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.9996732034726089
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.9885055265383774
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.2134005784285464
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.7747781515824398
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0174795843279776
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.9706991456830087
2,lt,central,0,0,2.4,30.0,50.0,0,1,1.0390369892120361
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.1182537999865407
2,lt,down,0,0,2.4,30.0,50.0,0,1,1.008062861588948
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.0434215068817139
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.0293204565684262
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.0417836904525757
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.0365389585494995
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.04702889919281
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.02475905418396
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.0390360355377197
