DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0119400024414062" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99621701240539551" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98723500967025757" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0007599592208862" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99212098121643066" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "1.0112400054931641" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0146600008010864" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.98839700222015381" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0048999786376953" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0276600122451782" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94756054878234863" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98061990737915039" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97013270854949951" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97559475898742676" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95284461975097656" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92746561765670776" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.92554521560668945" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.91850638389587402" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.90675872564315796" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93881762027740479" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "1.0201900005340576" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99795001745223999" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99072498083114624" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "1.0036419630050659" 
