DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02763"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.9827"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.07256"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01436"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0409"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00393"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.05133"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00504"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.05022"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00616"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0491"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02707"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02819"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02147"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.03379"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.03379"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02147"
0, system8, up_pu,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.03146"
0, system8, down_pu,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0238"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.04242"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01284"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983212"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.965773"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00065"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.977616"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.988808"
0, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.990188"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976236"
0, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.988645"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.977779"
0, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.996141"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.970283"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983025"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983399"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979461"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.986963"
0, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.986401"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.980023"
0, system8, up_pu,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984763"
0, system8, down_pu,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981661"
0, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.982321"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984103"
0, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.991043"
0, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.977092"
0, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00499"
0, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985765"
0, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.996321"
0, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.995021"
0, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.987065"
0, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994019"
0, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988067"
0, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.983125"
0, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.998961"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.990576"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.99151"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985875"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.996211"
0, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.996211"
0, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985875"
0, system8, up_pu,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994096"
0, system8, down_pu,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.98799"
0, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986989"
0, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.995097"
0, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00373"
0, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.975259"
0, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.0322"
0, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.996214"
0, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01125"
0, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.979127"
0, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.02833"
0, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.996634"
0, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01083"
0, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00577"
0, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00169"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00259"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00487"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.998818"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00864"
0, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.998818"
0, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00864"
0, system8, up_pu,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00607"
0, system8, down_pu,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00139"
0, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.997465"
0, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00999"
0, system8, central,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.964486"
0, system8, down,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.934076"
0, system8, up,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.994896"
0, system8, down_statistic,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.955707"
0, system8, up_statistic,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.973265"
0, system8, up_jetaway,      0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.975957"
