kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1,  0.97565728426
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1,  1.00115776062
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1,  0.995005011559
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1,  0.989735007286
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1,  0.989887714386
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1,  0.963620722294
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1,  0.822975456715
1, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1,  1.00144445896
1, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1,  1.00516104698
1, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1,  0.988130867481
1, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1,  0.993199050426
1, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1,  0.98052829504
1, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1,  0.930301189423
1, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1,  0.764200270176
2, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1,  0.98101067543
2, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1,  0.991056323051
2, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1,  0.974354028702
2, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1,  0.979683935642
2, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1,  0.961522936821
2, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1,  0.912000834942
2, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1,  0.706315517426
0 , kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, 0.971
0 , kin, up_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, 0.981
0 , kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, 0.977
0 , kin, up_jer, 0, -2.4, 2.4, 30, 50, 0, 1, 0.978
0 , kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, 0.96
0 , kin, up_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, 0.962
0 , kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, 0.975
0 , kin, up_jes, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_trig, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_sel, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.954
0 , kin, up_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.953
0 , kin, down_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.952
0 , kin, up_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.954
0 , kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, 0.996
0 , kin, up_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, 1.006
0 , kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_jer, 0, -2.4, 2.4, 50, 70, 0, 1, 1.0
0 , kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, 0.99
0 , kin, up_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, 0.992
0 , kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_jes, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_trig, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_sel, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, down_fsrDef, 0, -2.4, 2.4, 50, 70, 0, 1, 0.992
0 , kin, up_fsrDef, 0, -2.4, 2.4, 50, 70, 0, 1, 0.991
0 , kin, down_isrDef, 0, -2.4, 2.4, 50, 70, 0, 1, 0.993
0 , kin, up_isrDef, 0, -2.4, 2.4, 50, 70, 0, 1, 0.997
0 , kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, up_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, 1.001
0 , kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, 0.991
0 , kin, up_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, 0.999
0 , kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, up_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, 0.993
0 , kin, up_jer, 0, -2.4, 2.4, 70, 100, 0, 1, 0.991
0 , kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, 0.987
0 , kin, up_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, 0.99
0 , kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, 0.996
0 , kin, up_jes, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, up_trig, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, up_sel, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, down_fsrDef, 0, -2.4, 2.4, 70, 100, 0, 1, 0.992
0 , kin, up_fsrDef, 0, -2.4, 2.4, 70, 100, 0, 1, 0.991
0 , kin, down_isrDef, 0, -2.4, 2.4, 70, 100, 0, 1, 0.991
0 , kin, up_isrDef, 0, -2.4, 2.4, 70, 100, 0, 1, 0.986
0 , kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, up_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, 0.995
0 , kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, 0.985
0 , kin, up_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, 0.995
0 , kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, up_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, 0.988
0 , kin, up_jer, 0, -2.4, 2.4, 100, 140, 0, 1, 0.986
0 , kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, 0.985
0 , kin, up_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, 0.988
0 , kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, 0.991
0 , kin, up_jes, 0, -2.4, 2.4, 100, 140, 0, 1, 0.989
0 , kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, up_trig, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, up_sel, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, down_fsrDef, 0, -2.4, 2.4, 100, 140, 0, 1, 0.992
0 , kin, up_fsrDef, 0, -2.4, 2.4, 100, 140, 0, 1, 0.992
0 , kin, down_isrDef, 0, -2.4, 2.4, 100, 140, 0, 1, 0.992
0 , kin, up_isrDef, 0, -2.4, 2.4, 100, 140, 0, 1, 0.992
0 , kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, up_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, 0.99
0 , kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, 0.983
0 , kin, up_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, 0.997
0 , kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
0 , kin, up_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
0 , kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, 0.988
0 , kin, up_jer, 0, -2.4, 2.4, 140, 200, 0, 1, 0.985
0 , kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, 0.986
0 , kin, up_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
0 , kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
0 , kin, up_jes, 0, -2.4, 2.4, 140, 200, 0, 1, 0.989
0 , kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
0 , kin, up_trig, 0, -2.4, 2.4, 140, 200, 0, 1, 0.99
