kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50 0, 1,  0.975591957569
0, kin, central, 0, -2.4, 2.4, 50, 70 0, 1,  0.998493492603
0, kin, central, 0, -2.4, 2.4, 70, 100 0, 1,  0.992245495319
0, kin, central, 0, -2.4, 2.4, 100, 140 0, 1,  0.99648052454
0, kin, central, 0, -2.4, 2.4, 140, 200 0, 1,  0.99013531208
0, kin, central, 0, -2.4, 2.4, 200, 300 0, 1,  0.966147840023
0, kin, central, 0, -2.4, 2.4, 300, 600 0, 1,  0.853537917137
1, kin, central, 0, -2.4, 2.4, 30, 50 0, 1,  0.992916285992
1, kin, central, 0, -2.4, 2.4, 50, 70 0, 1,  1.00048923492
1, kin, central, 0, -2.4, 2.4, 70, 100 0, 1,  0.993553519249
1, kin, central, 0, -2.4, 2.4, 100, 140 0, 1,  0.999871134758
1, kin, central, 0, -2.4, 2.4, 140, 200 0, 1,  0.988441586494
1, kin, central, 0, -2.4, 2.4, 200, 300 0, 1,  0.937672257423
1, kin, central, 0, -2.4, 2.4, 300, 600 0, 1,  0.767180144787
2, kin, central, 0, -2.4, 2.4, 30, 50 0, 1,  0.975592434406
2, kin, central, 0, -2.4, 2.4, 50, 70 0, 1,  0.997048258781
2, kin, central, 0, -2.4, 2.4, 70, 100 0, 1,  0.984531998634
2, kin, central, 0, -2.4, 2.4, 100, 140 0, 1,  1.00322771072
2, kin, central, 0, -2.4, 2.4, 140, 200 0, 1,  0.966222047806
2, kin, central, 0, -2.4, 2.4, 200, 300 0, 1,  0.930402398109
2, kin, central, 0, -2.4, 2.4, 300, 600 0, 1,  0.731879115105
0 , kin, down_stat, 0, -2.4, 2.4, 30, 50, 0, 1, 0.97
0 , kin, up_stat, 0, -2.4, 2.4, 30, 50, 0, 1, 0.982
0 , kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, 0.977
0 , kin, up_jer, 0, -2.4, 2.4, 30, 50, 0, 1, 0.978
0 , kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, 0.959
0 , kin, up_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, 0.962
0 , kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, 0.975
0 , kin, up_jes, 0, -2.4, 2.4, 30, 50, 0, 1, 0.977
0 , kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_trig, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_sel, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.95
0 , kin, up_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.948
0 , kin, down_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.947
0 , kin, up_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, 0.947
0 , kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, up_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, 0.976
0 , kin, down_stat, 0, -2.4, 2.4, 50, 70, 0, 1, 0.993
0 , kin, up_stat, 0, -2.4, 2.4, 50, 70, 0, 1, 1.003
0 , kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, 0.998
0 , kin, up_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, 0.998
0 , kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, 0.998
0 , kin, up_jer, 0, -2.4, 2.4, 50, 70, 0, 1, 0.997
0 , kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, 0.987
0 , kin, up_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, 0.99
