DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,1.0261943340301514
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.146075344542022
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.9571965515184663
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.0261943340301514
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.0142391549881422
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.0285372734069824
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.02371084690094
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0377777814865112
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.009856939315796
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0261952877044678
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0350761413574219
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.0261952877044678
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0281516313552856
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.0260759592056274
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.0261952877044678
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.0279484655271758
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.024440202533127
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.1271471526813146
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.925241515378988
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0526853445554825
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.9997033235048203
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.9729661345481873
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.0436209329172113
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.9356638880316798
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.9739478826522827
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.9657193218534629
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.9768549203872681
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.9690940976142883
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.9817137122154236
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.9580176472663879
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.9729718565940857
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.9787878394126892
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.9729718565940857
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.9747871160507202
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.9729695916175842
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.9729718565940857
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.9737097918796629
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.9722224772167116
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.0011925359698628
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.9447397331265118
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.9783202817299369
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.9676119873664376
2,lt,central,0,0,2.4,50.0,70.0,0,1,1.0415353775024414
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.1014606856198017
2,lt,down,0,0,2.4,50.0,70.0,0,1,1.005256970917381
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.0543755275566262
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.0415353775024414
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.0520987510681152
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.03062903881073
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0495082139968872
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.033754825592041
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.0415334701538086
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.0394158363342285
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.0415334701538086
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.0409413576126099
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.0414913892745972
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.0415334701538086
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.0418346308803377
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.0412361241245451
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.070432253788588
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,1.0126385012162948
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.0512238866062604
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.0318468683986224
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.9945386052131653
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.0657384523649158
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.9432022521899875
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.0193526250857436
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.9939613342285156
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00662362575531
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.9819235801696777
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.0100752115249634
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.9820367693901062
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.9945380687713623
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.993133544921875
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.9945380687713623
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.9948054552078247
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.9945440888404846
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.9945380687713623
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.9945766817360947
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.9945005286902359
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.0806840096825012
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.9083932007438293
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.0026093001786098
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.9864679102477208
2,lt,central,0,0,2.4,100.0,140.0,0,1,1.062882423400879
2,lt,up,0,0,2.4,100.0,140.0,0,1,1.1362716237197577
2,lt,down,0,0,2.4,100.0,140.0,0,1,1.003963527632015
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.0699182408380428
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.0601251250446462
2,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.0819607973098755
2,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.0401092767715454
2,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.073142409324646
