DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.950474951001"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.920959813789"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979990088212"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.947401991572"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.953547910429"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.948336918576"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.952612983425"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.950062587539"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.950887314462"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.949661934185"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.951287967817"
0,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.920959813789"
0,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979990088212"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.946671230366"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.954278671635"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.946359140409"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.954590761592"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.922619421612"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978330480389"
0,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.944032274493"
0,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.956917627508"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.947934439058"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.953015462943"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.949873741399"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.951076160602"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.947922779041"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95302712296"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995122372028"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.969094003648"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02115074041"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.991042608182"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999202135875"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.994380656633"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995864087424"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995012561134"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995232182923"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.994192809756"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.996051934301"
0,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.969094003648"
0,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02115074041"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.990523228144"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999721515913"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99261896413"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.997625779926"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.970125357175"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02011938688"
0,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.991847329735"
0,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.998397414321"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99306670609"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.997178037966"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.994129500757"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9961152433"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.993747920732"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.996496823325"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.972588012698"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.955854709369"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.989321316026"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.971066601833"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.974109423562"
