DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.998517"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.982606"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01443"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.99248"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00455"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00218"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.994858"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.995057"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00198"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00645"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.990584"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.998688"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.998346"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.992264"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00477"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00344"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.993596"
0, system8, up_pu,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00302"
0, system8, down_pu,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.994014"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.991824"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00521"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00112"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.989689"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.01255"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.997044"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.0052"
0, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.994121"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00812"
0, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00335"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.998886"
0, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00426"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.997975"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00101"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00123"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.99618"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00606"
0, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.0041"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.998145"
0, system8, up_pu,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00494"
0, system8, down_pu,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.997297"
0, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "1.00264"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.9996"
