DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02249215293"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979057905765"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0659264001"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01688570795"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02809859792"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0218045244"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02317978147"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02220182293"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02278248294"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02130205011"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02368225576"
1,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979057905765"
1,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0659264001"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01809551202"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02688879385"
1,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02040973184"
1,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02457457403"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979701289908"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.06528301596"
1,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01941451684"
1,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02556978903"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01833765568"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02664665019"
1,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02074877993"
1,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02423552594"
1,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02216081954"
1,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02282348633"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05848397179"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01351065949"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10345728408"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05214659058"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.064821353"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05842253334"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05854541023"
1,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05810609578"
1,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0588618478"
1,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05714455942"
1,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05982338415"
1,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01351065949"
1,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10345728408"
1,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05700450367"
1,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05996343991"
