DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.861073991285"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.825478763806"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.896669218764"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85458090849"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.867567074079"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.857530257416"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.864617725154"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.860007709965"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.862140272605"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.859359199771"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.862788782799"
2,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.825478763806"
2,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.896669218764"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.858868998748"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.863278983821"
2,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.858551087092"
2,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.863596895477"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.826296399219"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.895851583351"
2,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85753537713"
2,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86461260544"
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.857612773099"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86453520947"
2,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.857983973808"
2,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.864164008761"
2,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.860154079856"
2,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.861993902713"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927178895615"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.889617453318"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.964740337912"
2,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920803797356"
2,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.933553993874"
2,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.924730228827"
2,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929627562404"
2,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927030298003"
2,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927327493227"
2,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.923522459653"
2,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930835331578"
2,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.889617453318"
2,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.964740337912"
2,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.925387527944"
2,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928970263287"
2,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.926509055696"
2,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927848735534"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.890039917734"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.964317873496"
2,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.925954112884"
2,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928403678346"
2,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922667798072"
2,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.931689993159"
2,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9259366995"
2,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928421091731"
2,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.926933665434"
2,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927424125797"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0229577929"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988491069008"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05742451679"
2,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01812213237"
2,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02779345343"
2,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02224606943"
2,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02366951636"
2,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02284403506"
2,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02307155073"
2,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01984406042"
2,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02607152537"
2,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988491069008"
2,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05742451679"
