DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907348367593"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.882727452854"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.931969282332"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906075413293"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908621321893"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905697953347"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908998781839"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907183580413"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907513154773"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905057057419"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909639677768"
1,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.882727452854"
1,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.931969282332"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905780405096"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908916330091"
1,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907118850112"
1,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907577885074"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.883005618647"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.931691116539"
1,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905099154768"
1,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909597580418"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906078031454"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908618703733"
1,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906507125192"
1,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908189609994"
1,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906532295079"
1,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908164440108"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929877505131"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.906757847905"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.952997162357"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927876474468"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.931878535794"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928299097123"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.931455913139"
1,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929762689468"
1,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929992320794"
1,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927472339426"
1,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.932282670836"
1,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.906757847905"
1,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.952997162357"
1,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928895216613"
1,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930859793649"
1,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.926438399383"
1,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.933316610879"
1,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90717120352"
1,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.952583806741"
1,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929248669743"
1,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930506340518"
1,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.929520188937"
1,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930234821325"
1,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928357143622"
1,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93139786664"
1,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92919499302"
1,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930560017242"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962488111221"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9444208938"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980555328643"
1,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961748323084"
1,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963227899359"
1,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961685837854"
1,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963290384589"
1,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962408895816"
1,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962567326627"
1,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961409973661"
1,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963566248781"
1,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9444208938"
1,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980555328643"
1,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.960889901338"
1,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.964086321104"
1,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961226562574"
1,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963749659868"
1,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.944641922204"
1,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980334300239"
1,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961982174551"
1,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962994047891"
1,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961097148209"
1,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963879074234"
1,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96154254786"
1,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.963433674582"
1,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962482629791"
1,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962493592651"
