DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04414522863"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986234407897"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10205604936"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03577789503"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.05251256223"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04250229581"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04578816145"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04410282407"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04418763319"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04048563578"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04780482147"
1,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986234407897"
1,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10205604936"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03818911206"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0501013452"
1,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03390795826"
1,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.054382499"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.988001272404"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10028918485"
1,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03853033645"
1,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04976012081"
