DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.914326555961"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.889225838021"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.939427273901"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91305636412"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.915596747802"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.912834403933"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.915818707989"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.914093738431"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.914559373491"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.911867705319"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.916785406603"
1,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.889225838021"
1,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.939427273901"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.912849956602"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91580315532"
1,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.913904494793"
1,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.914748617129"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.889539250629"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.939113861293"
1,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.911540524208"
1,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.917112587714"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.913214585001"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.915438526921"
1,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.913617505045"
1,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.915035606878"
1,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.913393201754"
1,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.915259910168"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.943586367862"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921100509358"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.966072226365"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.942283037668"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.944889698055"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.942161705496"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.945011030227"
1,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.943538620702"
