DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908204761017"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.881777688777"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.934631833256"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905095077303"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91131444473"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907072489651"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909337032382"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90795489514"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908454626893"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905870328221"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.910539193812"
2,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.881777688777"
2,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.934631833256"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905903345037"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.910506176996"
2,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907363790033"
2,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909045732"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8820488248"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.934360697233"
2,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906384756288"
2,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.910024765745"
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907076652853"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90933286918"
2,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907146897014"
2,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909262625019"
2,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907404060162"
2,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909005461871"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.913940019781"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.890154737038"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.937725302524"
