DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.08245158195
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.21530176268
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.981676301593
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.11222076416
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.05973036783
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.08442378044
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.08027100563
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.09798777103
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.06003856659
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.08244526386
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.10791766644
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.08244526386
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.08677983284
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.08223128319
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.08244526386
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.08338065475
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.08152250916
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.21431428526
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.950588878648
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0936820997
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.07122106421
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.01023602486
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.06727139265
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.980664588376
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.015630126
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.996606367996
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01593637466
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00428283215
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.02066445351
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00365793705
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01023483276
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01536667347
