DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.892928540707
2,lt,up,0,0,2.4,20.0,30.0,0,1,0.99543357943
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.818046959482
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.915404617786
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.875450460205
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.891034781933
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.895427823067
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.901616990566
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.880395948887
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.892923891544
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.90013474226
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.892923891544
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.894190251827
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.892938137054
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.892923891544
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.894324047712
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.891533033702
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.990737438929
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.795119642485
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.906463138868
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.879393942545
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.944566249847
2,lt,up,0,0,2.4,30.0,50.0,0,1,0.999637740841
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.915085459375
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.949796974659
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.932551838176
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.948174357414
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.941285729408
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.954763352871
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.935261249542
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.944565653801
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.946920096874
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.944565653801
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.944249331951
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.944520890713
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.944565653801
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.945373219479
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.943759280216
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.962746239436
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.926386260259
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.948256888918
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.940875610776
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.925452172756
2,lt,up,0,0,2.4,50.0,70.0,0,1,0.97609069939
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.904427744793
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.957345692438
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.925452172756
