DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.993153"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.957779"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02853"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.983755"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00255"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.97849"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00782"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.998203"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.988103"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.964642"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02166"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.992978"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.993328"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.990291"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.996015"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.994047"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.992259"
0, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00096"
0, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.985346"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.999451"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.986855"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.9771"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.962645"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.991555"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.972824"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981376"
0, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975367"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.978833"
0, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984284"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.969916"
0, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.987319"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.966881"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.977332"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976868"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.972539"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981661"
0, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979569"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.974631"
0, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976103"
0, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.978097"
0, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975182"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979018"
0, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.995399"
0, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.974938"
0, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.01586"
0, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.98946"
0, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00134"
0, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986933"
0, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00387"
0, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.001"
0, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.989798"
0, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.980575"
0, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.01022"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.995806"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994992"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.990518"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00028"
0, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00016"
0, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.990635"
0, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.993712"
0, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.997086"
0, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.992075"
0, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.998723"
0, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.982384"
0, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.924353"
0, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.04041"
0, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.975326"
0, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.989442"
0, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01531"
0, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.949454"
0, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.986504"
0, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.978264"
0, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.02861"
0, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.936161"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.979066"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.985702"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.977988"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.98678"
0, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.98678"
0, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.977988"
0, system8, up_pileup,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.978134"
0, system8, down_pileup,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.986634"
0, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.978907"
0, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.985861"
1, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.95048"
1, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.904812"
1, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.996148"
1, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.937763"
1, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.963197"
1, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.973455"
1, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.927505"
1, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.958811"
1, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.942149"
1, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.96503"
1, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.93593"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.950842"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.950118"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.935667"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.965293"
1, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.95961"
1, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.94135"
1, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.966942"
1, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.934018"
1, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.97374"
1, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.92722"
1, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.949185"
1, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.928047"
1, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.970323"
1, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.943492"
1, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.954878"
1, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.950801"
1, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.947569"
1, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.96018"
1, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.93819"
1, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.961074"
1, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.937296"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.949225"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.949145"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.939473"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.958897"
1, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.954901"
1, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.943469"
1, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.953019"
1, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.945351"
1, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.946383"
1, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.951987"
1, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.961935"
1, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.929025"
1, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994845"
1, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.954038"
1, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.969832"
1, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.946074"
1, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.977796"
1, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.965207"
1, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.958663"
1, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.937355"
1, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986515"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.962946"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.960924"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.953437"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.970433"
1, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.97019"
1, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.95368"
1, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.964345"
1, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.959525"
1, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.959272"
1, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.964598"
1, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.957328"
1, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.896606"
1, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01805"
1, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.948624"
1, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.966032"
1, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00219"
1, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.912469"
1, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.957927"
1, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.956729"
1, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.995488"
1, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.919168"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.95119"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.963466"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.952362"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.962294"
1, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.962294"
1, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.952362"
1, system8, up_pileup,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.950689"
1, system8, down_pileup,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.963967"
1, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.953937"
1, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.960719"
2, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.893283"
2, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.81384"
2, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.972726"
2, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.878345"
2, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.908221"
2, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.929532"
2, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.857034"
2, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.842653"
2, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.943913"
2, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.93151"
2, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.855056"
2, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.895354"
2, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.891212"
2, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.910249"
2, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.876317"
2, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.893283"
2, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.893283"
2, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.908285"
2, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.878281"
2, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.908518"
2, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.878048"
2, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.919239"
2, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.89346"
2, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.945018"
2, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.912069"
2, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.926409"
2, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.915985"
2, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.922493"
2, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.930299"
2, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.908179"
2, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.933859"
2, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.904619"
2, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.918784"
2, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.919694"
2, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.906373"
2, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.932105"
2, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.926659"
2, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.911819"
2, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.924271"
2, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.914207"
2, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.914725"
2, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.923753"
2, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.933445"
2, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.904853"
2, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.962037"
2, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.924121"
2, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.942769"
2, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.926325"
2, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.940565"
2, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.931068"
2, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.935822"
2, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.912807"
2, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.954083"
2, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.9294"
2, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.93749"
2, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.922964"
2, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.943926"
2, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.943265"
2, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.923625"
2, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.935974"
2, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.930916"
2, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.929055"
2, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.937835"
2, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.930242"
2, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.85651"
