DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.08385014534
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.19193901931
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.996826240184
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.1088668382
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.06764249759
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.08568024635
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.08186364174
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.09645330906
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.06640136242
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.08384466171
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.10277247429
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.08384466171
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.08703505993
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.08371269703
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.08384466171
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.08406692202
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.08363336866
0,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.17106155968
0,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.996638730998
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.09547984433
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.07222044635
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.999496996403
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.05445430773
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.959459690373
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.00309729576
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.990401609681
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00408613682
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.994766831398
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00702679157
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.993905365467
