DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.02887260914
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.14720920406
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.935608525449
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04355872248
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.01680281394
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03241574764
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.02507019043
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04131603241
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01093065739
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.02886688709
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.05547571182
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.02886688709
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0340834856
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.02885997295
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.02886688709
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.02950675394
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.02823846433
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.14437486259
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.913370355688
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.03978253451
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.01796268377
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.999114871025
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.04838069268
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.977455062856
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.00264358521
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.988507453937
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00578010082
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.9921631217
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00821805
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.992965221405
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.999114751816
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00366389751
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.999114751816
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.998794436455
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.999067544937
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.999114751816
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.999448516438
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.998781225612
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.01070470705
