DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.03111457825
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.12327954414
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.962977133129
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04400183745
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.01968665363
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03461575508
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.02738344669
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04358899593
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01322174072
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.05996084213
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03685200214
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03098261356
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.03175643463
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.03047272186
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.12078194606
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.941447210439
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04204890975
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02018024674
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.01098132133
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.05334405807
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.984348373486
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.01484072208
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.999345081459
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01744937897
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00426197052
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01914143562
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00600147247
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01686573029
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.0113055706
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.01090395451
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.01131849778
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.01064414489
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.02143565913
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,1.00052698354
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.01418063072
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.00778201194
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.997973203659
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.04919300676
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.954214331867
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.01208638403
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.992541790009
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.01020383835
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.984856367111
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0060595274
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.992755949497
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.00396490097
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.995801568031
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.99788749218
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.998118293069
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.997828114249
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.04053315593
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.955413251385
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.00335575645
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.992590650872
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.984727561474
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.06847405717
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.906612277452
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.995378932501
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.982261326682
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.998570799828
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.969569981098
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.99796205759
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.97350615263
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.984727799892
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.982620835304
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.984727799892
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.982175886631
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.984733819962
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.984727799892
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.984739289181
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.984715833766
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.05216621457
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.917288908376
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.995706399964
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.973748722984
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.0343464613
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.09130545542
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.984059721073
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.036195755
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.03029805065
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.05719518661
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.00709915161
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.02444458008
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.04995763302
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03434717655
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03437829018
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.03434717655
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.03109967709
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.03448009491
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.03434717655
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.03435448833
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.03433843426
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.09326419348
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.975428729111
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.06001706423
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.00867585836
1,lt,central,0,0,2.4,140.0,200.0,0,1,0.872780442238
1,lt,up,0,0,2.4,140.0,200.0,0,1,0.925454999385
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.821594160225
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.887261368306
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.872699379921
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.898387312889
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.841528654099
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.880640387535
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.877149581909
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.872780323029
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.87101829052
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.872780323029
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.868895947933
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.872653961182
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.872780323029
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.872806137687
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.872754746789
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,0.876518473412
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.869042411064
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.899040800017
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.846520084458
1,lt,central,0,0,2.4,200.0,300.0,0,1,0.907286047935
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.03741166952
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.778169558445
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.909669596767
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.903061509132
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.923297405243
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.886884272099
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.927335619926
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.900178790092
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.907284855843
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.907249748707
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,0.907284855843
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,0.904967367649
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,0.906857728958
