DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.948894679546
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.05735180779
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.865707368405
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.954361734638
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.93891942554
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.950602114201
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.947496116161
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.956662297249
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.935747087002
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.948888897896
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.964574098587
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.948888897896
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.952974617481
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.948460876942
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.948888897896
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.950392232452
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.947397126641
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.05364173539
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.844147623701
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.965946373595
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.931842985497
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.979126632214
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.02958680797
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.959789232591
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.982059597969
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.96843436404
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.983023107052
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.975744307041
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.988177835941
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.969246149063
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.979125976562
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.983920156956
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.979125976562
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.980707526207
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.979079604149
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.979125976562
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.979845822334
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.978407442094
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.998092589295
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.960160675132
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.984189226875
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.974064037552
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.944549202919
2,lt,up,0,0,2.4,50.0,70.0,0,1,0.996949325507
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.914025732493
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.975310338755
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.944549202919
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.956619143486
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.931427776814
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.949227750301
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.939176797867
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.944544970989
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.951567530632
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.944544970989
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.944611370564
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.944498181343
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.944544970989
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.944879675982
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.944218729856
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,0.972051340871
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.917047064967
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.958320112967
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.930778292871
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.91293412447
2,lt,up,0,0,2.4,70.0,100.0,0,1,0.949101475521
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.886713820657
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.927888761508
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.90936773525
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.924631774426
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.900841295719
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.925549328327
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.899903178215
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.91293412447
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.915960550308
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.91293412447
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.913370132446
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.912918150425
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.91293412447
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.912935743154
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.912932505785
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,0.922749295802
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.903118953137
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.922517418269
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.903350830671
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.86643666029
