kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.934845209122"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958885490894"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967333853245"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969606816769"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967931866646"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956343829632"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.881670296192"
0, kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.933910363913"
0, kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958406048149"
0, kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967237119860"
0, kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969519552155"
0, kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967835073459"
0, kin, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.955483120185"
0, kin, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.879906955600"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.933910363913"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958693713796"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967256466537"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969412895406"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967835073459"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956152560866"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.880788625896"
0, kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.933910363913"
0, kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958022493952"
0, kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966559986162"
0, kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969122013361"
0, kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967641487086"
0, kin, down_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956340960601"
0, kin, down_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.881317628074"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.933910363913"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958214271050"
0, kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966753452933"
0, kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969315934724"
0, kin, down_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967544693899"
0, kin, down_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956056926483"
0, kin, down_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.879906955600"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.928301292658"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.956008834421"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965399185539"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969122013361"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967641487086"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.955865657717"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.878143615007"
0, kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.932975518704"
0, kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958406048149"
0, kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.966463252777"
0, kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969122013361"
0, kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967641487086"
0, kin, down_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.953474798143"
0, kin, down_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.879025285303"
0, kin, down_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.930170983076"
0, kin, down_isrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.957926605403"
0, kin, down_isrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.960562516272"
0, kin, down_isrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.966697996319"
0, kin, down_isrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967544693899"
0, kin, down_isrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.946780391336"
0, kin, down_isrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.877261944711"
0, kin, down_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.925496757031"
0, kin, down_fsrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.950255521476"
0, kin, down_fsrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965399185539"
0, kin, down_fsrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969315934724"
0, kin, down_fsrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967351107526"
0, kin, down_fsrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.952518454313"
0, kin, down_fsrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.872853593230"
0, kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.925496757031"
0, kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.954091063440"
0, kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964431851685"
0, kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.967667603135"
0, kin, down_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.965996002913"
0, kin, down_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.953474798143"
0, kin, down_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.872853593230"
0, kin, up_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.939519435168"
0, kin, up_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.959460822189"
0, kin, up_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967411239953"
0, kin, up_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969674689246"
0, kin, up_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968125453019"
0, kin, up_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956630732781"
0, kin, up_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.883433636784"
0, kin, up_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.935406116247"
0, kin, up_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.959077267992"
0, kin, up_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967527320016"
0, kin, up_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969703777451"
0, kin, up_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968028659833"
0, kin, up_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956822001547"
0, kin, up_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.884315307081"
0, kin, up_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.935780054331"
0, kin, up_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.959748487836"
0, kin, up_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968107720328"
0, kin, up_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969994659496"
0, kin, up_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968222246206"
0, kin, up_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956410773700"
0, kin, up_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.882022964310"
0, kin, up_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.935780054331"
0, kin, up_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.959844376385"
0, kin, up_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968204453713"
0, kin, up_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.970188580859"
0, kin, up_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968125453019"
0, kin, up_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956726367164"
0, kin, up_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.883433636784"
0, kin, up_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.943258816004"
0, kin, up_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.963679918348"
0, kin, up_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.971203188658"
0, kin, up_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.971546030403"
0, kin, up_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.971803594113"
0, kin, up_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.963038236439"
0, kin, up_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.899303702116"
0, kin, up_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.935125662685"
0, kin, up_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.960803261876"
0, kin, up_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967720786786"
0, kin, up_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969800738132"
0, kin, up_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968609418953"
0, kin, up_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.963038236439"
0, kin, up_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.889605328858"
0, kin, up_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.944193661213"
0, kin, up_isrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.964638803839"
0, kin, up_isrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.970235854805"
0, kin, up_isrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.970576423586"
0, kin, up_isrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968222246206"
0, kin, up_isrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.960169204951"
0, kin, up_isrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.899303702116"
0, kin, up_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.944193661213"
0, kin, up_fsrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.965597689330"
0, kin, up_fsrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968204453713"
0, kin, up_fsrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.970188580859"
0, kin, up_fsrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967951225283"
0, kin, up_fsrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.958256517291"
0, kin, up_fsrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.889605328858"
0, kin, up_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.944193661213"
0, kin, up_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.963679918348"
0, kin, up_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.970235854805"
0, kin, up_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.971546030403"
0, kin, up_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.969867730379"
0, kin, up_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.959212861121"
0, kin, up_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.890486999154"
