DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97595399618148804" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9852139949798584" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98296999931335449" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96019101142883301" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94960200786590576" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.90032899379730225" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99838298559188843" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0121200084686279" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0029900074005127" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.89615899324417114" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.93832558393478394" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96269851922988892" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93048703670501709" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93008625507354736" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.8257487416267395" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.70333075523376465" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.87985765933990479" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96879172325134277" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.90883052349090576" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.57227516174316406" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.9830319881439209" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98625296354293823" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98492497205734253" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96398401260375977" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99727201461791992" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98408502340316772" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0008679628372192" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0282520055770874" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0044100284576416" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.80423498153686523" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.98018801212310791" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98389500379562378" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98083800077438354" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94997203350067139" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95295202732086182" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.83672899007797241" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0251259803771973" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0075100660324097" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0251669883728027" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.82460200786590576" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97084802389144897" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9774320125579834" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97588598728179932" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94864702224731445" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99018597602844238" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98564797639846802" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.93152499198913574" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.99302202463150024" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.95126098394393921" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.80062496662139893" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97603702545166016" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98547500371932983" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98290497064590454" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96160799264907837" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99582797288894653" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97791397571563721" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0010299682617188" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0285300016403198" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.99364000558853149" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.79631400108337402" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "0.98636198043823242" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9832720160484314" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9752039909362793" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95894104242324829" 
0, ptrel, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94217097759246826" 
0, ptrel, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93115800619125366" 
0, ptrel, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.97773700952529907" 
0, ptrel, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.9976310133934021" 
0, ptrel, down_jes, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0037400722503662" 
0, ptrel, down_jes, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.80667197704315186" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96466898918151855" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98157799243927002" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.94730997085571289" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94745200872421265" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99775499105453491" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96511900424957275" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0262399911880493" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0138399600982666" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0547980070114136" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.99118000268936157" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97391301393508911" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98883098363876343" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98481297492980957" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97568202018737793" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98194003105163574" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96969097852706909" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0759199857711792" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 600, 0, 1, "1.0150300264358521" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0489729642868042" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.97863000631332397" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.99488097429275513" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99980896711349487" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95034998655319214" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96885603666305542" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90467798709869385" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96189600229263306" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.99806398153305054" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.99708002805709839" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.99661999940872192" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.79897499084472656" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95335900783538818" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99802899360656738" 
