DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.903087284186"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.881223459975"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.924951108397"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.902060608824"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.904113959548"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.899907793043"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906266775329"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.902963583442"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90321098493"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.899732615641"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906441952731"
2,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.881223459975"
2,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.924951108397"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.901328421951"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.904846146421"
2,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.902838323055"
2,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.903336245317"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88167437047"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.924500197902"
2,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90116262292"
2,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905011945452"
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.902766166776"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.903408401596"
2,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.902497193119"
2,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.903677375253"
2,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.901605112194"
2,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.904569456178"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921733295857"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.900630683953"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.942835907762"
2,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920651936461"
2,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922814655254"
2,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921347024809"
2,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922119566906"
2,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921500439501"
2,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921966152214"
2,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920199118694"
2,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.923267473021"
2,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.900630683953"
2,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.942835907762"
2,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919328710493"
2,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.924137881222"
2,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920389364492"
2,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.923077227223"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.901044942068"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.942421649646"
2,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.920387423485"
2,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92307916823"
2,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921119321474"
2,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922347270241"
2,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.919038999579"
2,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.924427592135"
2,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921363962447"
2,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.922102629268"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930300829568"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.913437656061"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.947164003075"
2,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930251004324"
2,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930350654812"
2,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930137984333"
2,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930463674803"
2,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930285031904"
2,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930316627233"
2,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929440527997"
2,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.931161131139"
2,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.913437656061"
2,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.947164003075"
2,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929844931842"
2,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.930756727294"
2,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929359492931"
2,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.931242166205"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.91359246655"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.947009192587"
2,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.928701876749"
2,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.931899782388"
2,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929990650467"
2,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93061100867"
2,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929483536754"
2,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.931118122382"
2,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.929434488357"
2,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.931167170779"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999773685889"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983015095436"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01653227634"
2,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.99914516561"
2,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00040220617"
2,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999431217169"
2,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00011615461"
2,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999773142179"
2,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999774229599"
2,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.998098486101"
2,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00144888568"
2,TnP,down_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983015095436"
2,TnP,up_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01653227634"
2,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.998939716255"
2,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00060765552"
2,TnP,down_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.997181675236"
2,TnP,up_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00236569654"
2,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983425663731"
2,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01612170805"
2,TnP,down_psscale,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.99927255179"
2,TnP,up_psscale,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00027481999"
2,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999212425419"
