DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906706997341"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.864610287606"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.948803707076"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906599476605"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906814518077"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.904094957187"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.909319037496"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906642490378"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906771504304"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.901754708956"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.911659285726"
2,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.864610287606"
2,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.948803707076"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905353176752"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90806081793"
2,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.906194033777"
2,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.907219960906"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.866325781993"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94708821269"
2,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.905310327122"
2,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908103667561"
