DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.11209189892
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.23239404137
1,lt,down,0,0,2.4,20.0,30.0,0,1,1.04031992146
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.14811668034
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.10041132208
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.11421918869
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.10947179794
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.1259418726
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.08957350254
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.11209058762
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.15339946747
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.11209058762
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.11983418465
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.11194467545
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.11209058762
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.11345956615
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.11072423168
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.21447093878
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,1.00971285906
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.12858363865
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.09560015918
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.959016025066
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.00210162518
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.933961598669
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.965104043484
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.94413189732
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.964872062206
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.953263878822
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.968100667
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.953284621239
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.959017395973
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.96333360672
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.959017395973
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.958979785442
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.958993971348
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.959017395973
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.959503429461
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.958528620672
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.978328424364
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.939703625769
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.963406795261
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.954625254872
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.92364948988
1,lt,up,0,0,2.4,50.0,70.0,0,1,0.988484819819
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.871149395832
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.936593093578
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.917587041855
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.934083521366
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.912307024002
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.932910263538
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.917358994484
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.923650383949
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.930262863636
