kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958754479885"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969881474972"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978208601475"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97360175848"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968523859978"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950763761997"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.897574424744"
0, kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.957987476301"
0, kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969590510530"
0, kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.977523855454"
0, kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.972920237249"
0, kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968136450434"
0, kin, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950288380116"
0, kin, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.895779275895"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.954919461965"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.966001949072"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.970382932663"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.963865740895"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.958838621378"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.941256124377"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.879622936249"
0, kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958735304795"
0, kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969877595446"
0, kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978200775806"
0, kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.973599811276"
0, kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968514174739"
0, kin, down_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950744746722"
0, kin, down_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.897502618790"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958754422360"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969881280996"
0, kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978208503654"
0, kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.973601661120"
0, kin, down_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968523666273"
0, kin, down_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950763704951"
0, kin, down_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.897574370890"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.952043198526"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.966971830547"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.976252184272"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.972628156722"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967845893276"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.947911470711"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.893086552620"
0, kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958658604437"
0, kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969832980898"
0, kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978110780615"
0, kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.973553078392"
0, kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968330155206"
0, kin, down_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950288380116"
0, kin, down_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.896676850319"
0, kin, down_isrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.953960707486"
0, kin, down_isrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.967941712022"
0, kin, down_isrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.977230392874"
0, kin, down_isrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.973582286445"
0, kin, down_isrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.963681240678"
0, kin, down_isrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.943157651901"
0, kin, down_isrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.870647192002"
0, kin, down_fsrDef, 0, -2.4, 2.4, 30, 50, 0, 1, "0.939579390287"
0, kin, down_fsrDef, 0, -2.4, 2.4, 50, 70, 0, 1, "0.960182660222"
0, kin, down_fsrDef, 0, -2.4, 2.4, 70, 100, 0, 1, "0.973317558468"
0, kin, down_fsrDef, 0, -2.4, 2.4, 100, 140, 0, 1, "0.972628156722"
0, kin, down_fsrDef, 0, -2.4, 2.4, 140, 200, 0, 1, "0.965618288398"
0, kin, down_fsrDef, 0, -2.4, 2.4, 200, 300, 0, 1, "0.941256124377"
0, kin, down_fsrDef, 0, -2.4, 2.4, 300, 600, 0, 1, "0.879622936249"
0, kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.958754479885"
0, kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.969881474972"
0, kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978208601475"
0, kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.973601758480"
0, kin, down_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968523859978"
0, kin, down_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950763761997"
0, kin, down_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.897574424744"
0, kin, up_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.959617358917"
0, kin, up_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.970172439414"
0, kin, up_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.978893347496"
0, kin, up_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.974283279711"
0, kin, up_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.969008121908"
0, kin, up_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.951714525759"
0, kin, up_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.901164722443"
