DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.971644"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.940191"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0031"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.964676"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.978612"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.987658"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.95563"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.982734"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.960554"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.994258"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.94903"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.972038"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.97125"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.968103"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.975185"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.973483"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.969805"
0, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.974804"
0, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.968484"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.976525"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.966763"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979945"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.965775"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.994115"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.974754"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.985136"
0, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.98816"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.97173"
0, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.98611"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.97378"
0, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983545"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976345"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979319"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.980571"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975668"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984222"
0, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.984222"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975668"
0, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981914"
0, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.977976"
0, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976135"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983755"
0, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.98697"
0, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.96225"
0, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.01169"
0, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.981965"
0, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.991975"
0, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994526"
0, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.979414"
0, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.998649"
0, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.975291"
0, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.00592"
0, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.96802"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988166"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985774"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.982637"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.991303"
0, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988356"
0, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985584"
0, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.984125"
0, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.989815"
0, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985176"
0, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988764"
0, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.978371"
0, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.957453"
0, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.999289"
0, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.973106"
0, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.983636"
0, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.987261"
0, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.969481"
0, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.978652"
0, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.97809"
0, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.995665"
0, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.961077"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.97637"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.980372"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.975567"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.981175"
0, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.975567"
0, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.981175"
0, system8, up_pileup,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.977393"
0, system8, down_pileup,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.979349"
0, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.981679"
0, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.975063"
1, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.909339"
1, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.848452"
1, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.970226"
1, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.900515"
1, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.918163"
1, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.935487"
1, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.883191"
1, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.959574"
1, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.859104"
1, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.895789"
1, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.922889"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.909573"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.909105"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.902029"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.916649"
1, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.913615"
1, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.905063"
1, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.910989"
1, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.907689"
1, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.922143"
1, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.896535"
1, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.956927"
1, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.937388"
1, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976466"
1, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.950672"
1, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.963182"
1, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.94377"
1, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.970084"
1, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.961166"
1, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.952688"
1, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.963434"
1, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.95042"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.955737"
